Kudos Date,Kudos Type,Parent ID
"Jan 14, 2019, 10:02:08 PM",Activity,2074113879
"Jan 19, 2019, 3:51:59 PM",Activity,2086316040
"Jan 29, 2019, 7:11:42 PM",Activity,2108317266
"Feb 2, 2019, 6:01:27 PM",Activity,2119640339
"Feb 6, 2019, 2:30:13 AM",Activity,2122682736
"Mar 19, 2019, 11:37:01 AM",Activity,2221208507
"Apr 15, 2019, 8:31:37 PM",Activity,2290486091
"Apr 30, 2019, 11:00:34 AM",Activity,2318825762
"May 22, 2019, 8:30:46 PM",Activity,2386222687
"May 22, 2019, 8:30:48 PM",Activity,2388129737
"May 23, 2019, 9:56:35 PM",Activity,2391736870
"Jun 7, 2019, 2:41:14 PM",Activity,2427767551
"Jun 9, 2019, 1:20:05 PM",Activity,2431377099
"Jun 15, 2019, 2:24:40 PM",Activity,2449809670
"Jun 18, 2019, 2:33:13 PM",Activity,2452692741
"Jun 22, 2019, 1:34:09 PM",Activity,2468169881
"Jun 22, 2019, 1:34:11 PM",Activity,2466886908
"Jun 22, 2019, 1:34:21 PM",Activity,2466749029
"Jun 27, 2019, 1:16:35 PM",Activity,2484442406
"Jun 28, 2019, 1:37:39 PM",Activity,2486963333
"Jul 6, 2019, 12:37:17 PM",Activity,2507358763
"Jul 6, 2019, 12:37:47 PM",Activity,2506827579
"Jul 8, 2019, 11:32:23 PM",Activity,2513418014
"Jul 8, 2019, 11:32:33 PM",Activity,2514362727
"Jul 11, 2019, 12:02:25 PM",Activity,2522550006
"Jul 16, 2019, 10:52:36 AM",Activity,2532049351
"Jul 19, 2019, 1:06:05 PM",Activity,2545198532
"Jul 27, 2019, 2:31:38 PM",Activity,2567325698
"Jul 30, 2019, 11:22:26 AM",Activity,2573369710
"Jul 31, 2019, 1:32:20 PM",Activity,2576786332
"Aug 3, 2019, 1:57:26 PM",Activity,2581063972
"Aug 3, 2019, 1:57:33 PM",Activity,2582114410
"Aug 3, 2019, 1:57:43 PM",Activity,2582405178
"Aug 3, 2019, 3:04:56 PM",Activity,2587009983
"Aug 3, 2019, 3:05:09 PM",Activity,2587020195
"Aug 4, 2019, 6:00:16 PM",Activity,2590221184
"Aug 4, 2019, 6:00:58 PM",Activity,2587420428
"Aug 5, 2019, 10:43:19 PM",Activity,2592841939
"Aug 5, 2019, 10:43:25 PM",Activity,2593604953
"Aug 6, 2019, 9:15:10 PM",Activity,2595726919
"Aug 6, 2019, 9:15:22 PM",Activity,2594532907
"Aug 6, 2019, 9:15:55 PM",Activity,2594532902
"Aug 6, 2019, 9:16:00 PM",Activity,2596554185
"Aug 6, 2019, 11:32:57 PM",Activity,2597100658
"Aug 8, 2019, 10:28:39 AM",Activity,2599372113
"Aug 10, 2019, 1:09:15 PM",Activity,2604308103
"Aug 13, 2019, 11:16:24 AM",Activity,2614923996
"Aug 14, 2019, 6:03:54 PM",Activity,2615130176
"Aug 16, 2019, 5:16:15 PM",Activity,2620775511
"Aug 16, 2019, 5:16:38 PM",Activity,2622520018
"Aug 16, 2019, 5:16:44 PM",Activity,2619674420
"Aug 16, 2019, 11:19:16 PM",Activity,2624602724
"Aug 18, 2019, 1:07:41 PM",Activity,2626905947
"Aug 18, 2019, 1:07:51 PM",Activity,2627034805
"Aug 20, 2019, 11:37:46 AM",Activity,2634908384
"Aug 20, 2019, 11:37:49 AM",Activity,2630600337
"Aug 21, 2019, 12:26:39 AM",Activity,2636813458
"Aug 21, 2019, 12:26:49 AM",Activity,2635551636
"Aug 21, 2019, 12:27:09 AM",Activity,2634873882
"Aug 21, 2019, 8:49:26 PM",Activity,2639577815
"Aug 21, 2019, 8:49:29 PM",Activity,2639219305
"Aug 21, 2019, 11:50:05 PM",Activity,2639875011
"Aug 22, 2019, 12:23:36 PM",Activity,2641056584
"Aug 22, 2019, 12:23:42 PM",Activity,2640875826
"Aug 23, 2019, 12:12:46 AM",Activity,2642549117
"Aug 23, 2019, 4:35:17 PM",Activity,2643939414
"Aug 23, 2019, 4:35:38 PM",Activity,2643862958
"Aug 24, 2019, 11:51:42 AM",Activity,2644722212
"Aug 24, 2019, 11:51:47 AM",Activity,2645101813
"Aug 24, 2019, 11:51:50 AM",Activity,2644639379
"Aug 24, 2019, 2:28:04 PM",Activity,2646839894
"Aug 24, 2019, 2:28:05 PM",Activity,2647029050
"Aug 25, 2019, 6:38:25 PM",Activity,2650727933
"Aug 25, 2019, 6:38:38 PM",Activity,2648937925
"Aug 26, 2019, 8:28:38 PM",Activity,2651573101
"Aug 26, 2019, 8:28:44 PM",Activity,2651788278
"Aug 27, 2019, 1:38:58 AM",Activity,2654441507
"Aug 27, 2019, 1:39:01 AM",Activity,2654299430
"Aug 27, 2019, 1:39:09 AM",Activity,2654181777
"Aug 27, 2019, 4:33:53 PM",Activity,2655468857
"Aug 27, 2019, 4:34:00 PM",Activity,2655542763
"Aug 27, 2019, 4:34:09 PM",Activity,2655794687
"Aug 28, 2019, 10:03:54 AM",Activity,2658297231
"Aug 28, 2019, 10:03:59 AM",Activity,2657689920
"Aug 28, 2019, 4:21:34 PM",Activity,2657494961
"Aug 29, 2019, 11:08:29 AM",Activity,2661407247
"Aug 29, 2019, 11:08:30 AM",Activity,2661394008
"Aug 29, 2019, 11:19:19 AM",Activity,2661391344
"Aug 29, 2019, 1:13:15 PM",Activity,2661401689
"Aug 30, 2019, 1:34:48 AM",Activity,2663293168
"Aug 30, 2019, 1:34:50 AM",Activity,2663157224
"Aug 30, 2019, 1:35:02 AM",Activity,2663298687
"Aug 31, 2019, 3:46:17 PM",Activity,2667189889
"Aug 31, 2019, 3:46:17 PM",Activity,2667691642
"Aug 31, 2019, 3:46:17 PM",Activity,2667479620
"Aug 31, 2019, 3:46:17 PM",Activity,2664345424
"Aug 31, 2019, 3:46:17 PM",Activity,2667242926
"Aug 31, 2019, 3:46:20 PM",Activity,2665116080
"Aug 31, 2019, 3:46:43 PM",Activity,2667143202
"Aug 31, 2019, 3:46:54 PM",Activity,2666366172
"Aug 31, 2019, 3:47:00 PM",Activity,2664214171
"Aug 31, 2019, 6:55:07 PM",Activity,2667888093
"Sep 1, 2019, 9:03:09 PM",Activity,2670631259
"Sep 1, 2019, 9:03:25 PM",Activity,2670685170
"Sep 1, 2019, 9:03:29 PM",Activity,2669766211
"Sep 2, 2019, 7:34:44 PM",Activity,2673552670
"Sep 2, 2019, 7:34:53 PM",Activity,2673938688
"Sep 2, 2019, 7:34:58 PM",Activity,2672590201
"Sep 2, 2019, 10:03:14 PM",Activity,2674301561
"Sep 2, 2019, 10:03:17 PM",Activity,2674588541
"Sep 2, 2019, 10:22:42 PM",Activity,2673138166
"Sep 3, 2019, 12:47:59 AM",Activity,2674883868
"Sep 3, 2019, 4:22:08 PM",Activity,2675914997
"Sep 3, 2019, 4:22:13 PM",Activity,2676450745
"Sep 3, 2019, 7:53:54 PM",Activity,2677005508
"Sep 3, 2019, 11:49:09 PM",Activity,2677744287
"Sep 5, 2019, 6:01:40 PM",Activity,2679689903
"Sep 5, 2019, 6:01:50 PM",Activity,2681889505
"Sep 5, 2019, 6:02:02 PM",Activity,2681593583
"Sep 5, 2019, 6:02:03 PM",Activity,2681585667
"Sep 5, 2019, 6:02:07 PM",Activity,2679295624
"Sep 5, 2019, 6:02:21 PM",Activity,2680525382
"Sep 6, 2019, 12:08:12 AM",Activity,2683435623
"Sep 6, 2019, 4:02:54 AM",Activity,2682798175
"Sep 10, 2019, 11:42:37 PM",Activity,2696144306
"Sep 10, 2019, 11:42:41 PM",Activity,2696230150
"Sep 10, 2019, 11:42:43 PM",Activity,2690791144
"Sep 10, 2019, 11:42:48 PM",Activity,2693371907
"Sep 10, 2019, 11:42:52 PM",Activity,2690656471
"Sep 11, 2019, 10:57:18 AM",Activity,2697753685
"Sep 11, 2019, 10:57:26 AM",Activity,2697827499
"Sep 11, 2019, 10:57:42 AM",Activity,2698717850
"Sep 11, 2019, 7:55:41 PM",Activity,2699284154
"Sep 11, 2019, 7:55:46 PM",Activity,2698780712
"Sep 11, 2019, 7:55:49 PM",Activity,2699950078
"Sep 12, 2019, 3:19:54 PM",Activity,2702083201
"Sep 12, 2019, 3:19:57 PM",Activity,2700545085
"Sep 12, 2019, 3:21:19 PM",Activity,2701619660
"Sep 13, 2019, 11:57:46 PM",Activity,2704582125
"Sep 13, 2019, 11:57:55 PM",Activity,2704750420
"Sep 13, 2019, 11:58:03 PM",Activity,2702639312
"Sep 13, 2019, 11:58:11 PM",Activity,2705812451
"Sep 13, 2019, 11:58:15 PM",Activity,2705972861
"Sep 13, 2019, 11:58:17 PM",Activity,2704029932
"Sep 13, 2019, 11:58:20 PM",Activity,2704534190
"Sep 13, 2019, 11:58:30 PM",Activity,2705577880
"Sep 13, 2019, 11:58:36 PM",Activity,2705425784
"Sep 13, 2019, 11:58:41 PM",Activity,2703533286
"Sep 13, 2019, 11:58:43 PM",Activity,2704686465
"Sep 15, 2019, 3:15:26 PM",Activity,2710699196
"Sep 15, 2019, 3:15:31 PM",Activity,2707921810
"Sep 15, 2019, 3:15:53 PM",Activity,2707380478
"Sep 15, 2019, 3:15:59 PM",Activity,2707582605
"Sep 15, 2019, 3:16:36 PM",Activity,2708614904
"Sep 15, 2019, 3:18:45 PM",Activity,2710916538
"Sep 18, 2019, 12:49:50 AM",Activity,2718090944
"Sep 18, 2019, 12:49:51 AM",Activity,2718149148
"Sep 18, 2019, 12:49:57 AM",Activity,2716388834
"Sep 18, 2019, 12:50:02 AM",Activity,2716433494
"Sep 18, 2019, 12:50:08 AM",Activity,2713636084
"Sep 18, 2019, 12:50:12 AM",Activity,2716126174
"Sep 18, 2019, 12:50:15 AM",Activity,2714637394
"Sep 18, 2019, 12:50:21 AM",Activity,2714998735
"Sep 18, 2019, 12:50:39 AM",Activity,2712424636
"Sep 18, 2019, 12:50:44 AM",Activity,2715794067
"Sep 18, 2019, 6:55:35 PM",Activity,2719732280
"Sep 18, 2019, 6:55:43 PM",Activity,2719284275
"Sep 19, 2019, 8:46:42 PM",Activity,2722117102
"Sep 19, 2019, 8:46:52 PM",Activity,2720797458
"Sep 19, 2019, 8:47:00 PM",Activity,2720833539
"Sep 23, 2019, 6:17:05 AM",Activity,2732454265
"Sep 23, 2019, 6:17:15 AM",Activity,2732317982
"Sep 23, 2019, 6:17:18 AM",Activity,2732105228
"Sep 23, 2019, 6:17:23 AM",Activity,2732175913
"Sep 23, 2019, 6:17:26 AM",Activity,2730881580
"Sep 23, 2019, 6:17:39 AM",Activity,2727881747
"Sep 23, 2019, 6:17:48 AM",Activity,2727939123
"Sep 23, 2019, 6:17:54 AM",Activity,2730552924
"Sep 23, 2019, 2:12:06 PM",Activity,2733267095
"Sep 24, 2019, 12:59:21 AM",Activity,2734640878
"Sep 24, 2019, 12:59:26 AM",Activity,2733928133
"Sep 29, 2019, 7:31:52 PM",Activity,2746480092
"Sep 29, 2019, 7:31:56 PM",Activity,2747799111
"Sep 29, 2019, 7:32:01 PM",Activity,2747736031
"Sep 29, 2019, 7:32:12 PM",Activity,2749484644
"Oct 1, 2019, 11:22:32 PM",Activity,2754160725
"Oct 1, 2019, 11:22:37 PM",Activity,2753098225
"Oct 1, 2019, 11:22:40 PM",Activity,2754143932
"Oct 1, 2019, 11:22:43 PM",Activity,2753085745
"Oct 1, 2019, 11:22:52 PM",Activity,2755067116
"Oct 1, 2019, 11:23:01 PM",Activity,2751605450
"Oct 1, 2019, 11:23:05 PM",Activity,2752427471
"Oct 2, 2019, 12:07:39 PM",Activity,2755848828
"Oct 12, 2019, 2:09:09 PM",Activity,2782685152
"Oct 12, 2019, 2:09:26 PM",Activity,2780322746
"Oct 13, 2019, 10:23:56 PM",Activity,2785423586
"Oct 13, 2019, 10:24:04 PM",Activity,2786512853
"Oct 13, 2019, 10:24:12 PM",Activity,2786269337
"Oct 13, 2019, 10:24:21 PM",Activity,2786870237
"Oct 13, 2019, 10:24:25 PM",Activity,2786981096
"Oct 13, 2019, 10:24:28 PM",Activity,2783928573
"Oct 15, 2019, 2:04:02 PM",Activity,2788382570
"Oct 15, 2019, 2:04:19 PM",Activity,2790709928
"Oct 15, 2019, 2:04:21 PM",Activity,2789487926
"Oct 15, 2019, 2:04:44 PM",Activity,2787454701
"Oct 17, 2019, 10:47:46 AM",Activity,2793164965
"Oct 17, 2019, 10:47:58 AM",Activity,2792995491
"Oct 17, 2019, 5:46:09 PM",Activity,2795916322
"Oct 18, 2019, 9:26:22 AM",Activity,2796804679
"Oct 23, 2019, 12:15:59 AM",Activity,2809665565
"Oct 23, 2019, 12:16:02 AM",Activity,2804584366
"Oct 23, 2019, 12:16:07 AM",Activity,2806972105
"Oct 23, 2019, 12:16:11 AM",Activity,2803707503
"Oct 23, 2019, 12:16:19 AM",Activity,2806139226
"Oct 29, 2019, 1:01:52 PM",Activity,2825786092
"Oct 29, 2019, 1:01:53 PM",Activity,2825773168
"Oct 29, 2019, 1:01:54 PM",Activity,2825841737
"Oct 29, 2019, 1:02:19 PM",Activity,2824689314
"Oct 29, 2019, 1:02:22 PM",Activity,2825630213
"Oct 29, 2019, 1:02:27 PM",Activity,2824639184
"Oct 29, 2019, 11:41:20 PM",Activity,2826102150
"Oct 30, 2019, 12:08:22 AM",Activity,2827382466
"Nov 4, 2019, 10:52:10 PM",Activity,2835450284
"Nov 4, 2019, 10:52:13 PM",Activity,2840400016
"Nov 4, 2019, 10:52:34 PM",Activity,2835603829
"Nov 4, 2019, 10:52:42 PM",Activity,2838922925
"Nov 4, 2019, 10:52:58 PM",Activity,2835508792
"Nov 4, 2019, 10:53:01 PM",Activity,2840814979
"Nov 4, 2019, 10:53:06 PM",Activity,2835206429
"Nov 6, 2019, 1:41:53 AM",Activity,2842714504
"Nov 6, 2019, 1:42:04 AM",Activity,2842695374
"Nov 6, 2019, 1:42:05 AM",Activity,2842688948
"Nov 6, 2019, 1:32:06 PM",Activity,2845067722
"Nov 6, 2019, 1:32:10 PM",Activity,2845048111
